public_source,source,sample_count,avg_precision,avg_recall,avg_f1
casie,casie,50,0.705049011257035,0.2439363385152858,0.3239527227711545
ctinexus,ctinexus,50,0.7087311577311577,0.3505127138083794,0.4438879647705739
grid,grid,49,0.6997082014020728,0.461266089639698,0.5150301152461199
malkg,malkg,50,0.7412059408105484,0.3213543553785528,0.3902262365313181
securenlp,securenlp,50,0.7178165187825069,0.3388244925858711,0.4335087501147966
